_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,label,value,orig__golden,category,is_adi,is_premium,is_twin,label_gold,label_gold_reason,model_id,msid,new_model_is_positive,prediction_date,score,snorkel_prediction,sub_category,twin_type,type,url,new_label
2816219433,TRUE,golden,140,,1,0.9225,TRUE,,,,,1,,,,,,,,,,,https://zuzyashka1.wixsite.com/cabo,
2816219434,TRUE,golden,117,,1,1,TRUE,,,,,1,,,,,,,,,,,https://tskitishvilinikita.wixsite.com/traveladvisor,
2816219435,TRUE,golden,147,,1,0.9593,TRUE,,,,,1,,,,,,,,,,,https://summerrrann.wixsite.com/summersanders,
2816219436,TRUE,golden,137,,1,1,TRUE,,,,,1,,,,,,,,,,,https://www.usthedogsandanrv.com/,
2816219437,TRUE,golden,145,,1,0.8079,TRUE,,,,,1,,,,,,,,,,,https://www.cozumeldpvs.com/,
2816219438,TRUE,golden,136,,1,0.8077,TRUE,,,,,1,,,,,,,,,,,https://www.stevescamp.org/,
2816219439,TRUE,golden,137,,1,1,TRUE,,,,,1,,,,,,,,,,,https://saxonhheller.wixsite.com/mysite-6,
2816219440,TRUE,golden,134,,1,1,TRUE,,,,,1,,,,,,,,,,,https://raphaeldeguia07018.wixsite.com/12-f,
2816219441,TRUE,golden,140,,1,0.8889,TRUE,,,,,1,,,,,,,,,,,https://rajatmehta1173.wixsite.com/thrillzone,
2816219442,TRUE,golden,134,,1,0.8538,TRUE,,,,,1,,,,,,,,,,,https://oscark609.wixsite.com/mysite,
2816219443,TRUE,golden,128,,1,0.9245,TRUE,,,,,1,,,,,,,,,,,https://nathankersey.wixsite.com/yak4k,
2816219444,TRUE,golden,140,,1,1,TRUE,,,,,1,,,,,,,,,,,https://www.glamjourney.net/,
2816219445,TRUE,golden,131,,1,1,TRUE,,,,,1,,,,,,,,,,,https://mike8637.wixsite.com/riverworld,
2816219446,TRUE,golden,148,,1,1,TRUE,,,,,1,,,,,,,,,,,https://maika271.wixsite.com/meusite,
2816219447,TRUE,golden,140,,1,0.8526,TRUE,,,,,1,,,,,,,,,,,https://www.regretlyss.com/,
2816219485,FALSE,finalized,4,8/16/2020 13:08:29,1,0.7736,,Transportation,0,1,1,,,sc-experience,a7bd615b-aa83-42bb-8ea8-25348bc43d52,1,00:00.0,0.182078876,,Transportation services,twin,easy,https://aoldfield21.wixsite.com/website,
2816219486,FALSE,finalized,3,8/16/2020 13:11:12,1,1,,Sports and Recreation,0,1,1,,,sc-experience,dff367bf-a44f-468b-80b8-cdf677e3ab3d,1,00:00.0,0.120364809,,Travel-Leisure,twin,easy,https://isaccmoreno414.wixsite.com/website,
2816219489,FALSE,finalized,3,8/16/2020 13:10:30,1,1,,Sports and Recreation,0,1,1,,,sc-experience,43ca8c2d-a4c4-4e20-8dcf-4ec215eb4c5d,1,00:00.0,0.200162951,,Travel-Leisure,twin,easy,https://yachtingdestinations.wixsite.com/website,
2816219492,FALSE,finalized,2,8/16/2020 13:03:13,1,1,,Accommodation,0,1,1,,,sc-experience,17e79ce1-bd15-4026-8392-7aadff10cc10,1,00:00.0,0.168831891,,Resort,twin,easy,https://arfanismail.wixsite.com/the-secret-condao,
2816219493,FALSE,finalized,2,8/16/2020 13:08:34,1,1,,Sports and Recreation,0,1,1,,,sc-experience,0122c479-345c-4579-95ab-da7fe391d6d8,1,00:00.0,0.182289092,,Travel-Leisure,twin,easy,https://abursiak.wixsite.com/aleksandrabursiak,
2816219495,FALSE,finalized,3,8/16/2020 13:10:13,1,1,,Sports and Recreation,1,0,1,,,sc-experience,192acc6b-28d0-4834-8852-7fd18e6a9907,1,00:00.0,0.276831125,,Travel-Leisure,twin,easy,https://fluf201.wixsite.com/booknow,
2816219496,FALSE,in progress,2,,1,0.72,,Sports and Recreation,1,0,1,,,sc-experience,dce889c7-7631-4c66-b937-15ee9f5be9d3,1,00:00.0,0.218077668,,Travel-Leisure,twin,easy,https://milcahkaye.wixsite.com/letstravelwithme,
2816219498,FALSE,finalized,3,8/16/2020 13:07:54,1,1,,Sports and Recreation,0,0,1,,,sc-experience,6ff0a236-28ff-4f4f-847b-b93d552ec766,1,00:00.0,0.24298804,,Travel-Leisure,twin,easy,https://cynthiawyshak.wixsite.com/mysite-1,
2816219499,FALSE,finalized,3,8/16/2020 13:11:08,1,1,,Sports and Recreation,1,0,1,,,sc-experience,629f1055-0a2b-4e8f-a238-fb2a061bbb1a,1,00:00.0,0.205745048,,Travel-Leisure,twin,easy,https://loulou-katty.wixsite.com/kmfortoursandtravels,
